agri,mining,manufacturing,elecgas,water,construction,Industry,trade,transport,accomodation,ict,finance,real_estates,professional,administration,public_admin,education,health,recreation,other_service,households,extraterirritorial,total
2200.167268,23593.34934,71217.23998,12490.27238,200.4071955,6963.519294,114464.7882,28931.64617,21357.92653,7648.098844,50969.70827,47604.76769,2160.119453,6893.497662,28295.69646,37660.64399,2963.609508,2215.447481,86.33894922,24375.73384,3627.972222,274.4714638,381730.634
2527.494562,26010.84291,70494.28186,12037.25318,225.7399517,7540.794841,116308.9127,32287.9812,22499.54796,8420.774881,49394.88993,57918.72467,2230.025025,7312.403526,30282.85701,46987.62375,3453.100623,2410.235454,90.86150198,30005.06231,3614.355452,302.4128208,416047.2634
2811.500275,26703.82946,80365.75476,13630.77336,243.2986929,8765.562505,129709.2188,33840.67143,25191.37903,11856.46602,56252.71401,51727.02389,2903.92539,8119.802245,36599.05663,45088.22628,3519.120855,2624.540783,110.3966987,24285.90658,4262.58079,309.3567973,439211.8865
3100.519895,29694.76566,89456.49948,15428.26336,251.284525,9522.038459,144352.8515,37864.563,26939.77119,13235.0081,63007.41789,61043.12456,3089.361149,9115.392149,40001.18321,45309.66048,3759.481408,2932.439755,121.1661743,31233.50021,4264.020794,348.1899624,489717.6514
3271.330243,31041.55483,85553.31275,14601.30112,260.3372729,9908.352249,141364.8582,40919.87949,27722.88599,14240.04602,59704.80529,72258.50433,3101.398627,9258.972593,41417.07547,47131.29987,3920.997033,3013.29925,117.0701381,40383.19935,5105.436943,373.2358903,513304.2947
3277.042961,30452.48714,88209.12372,15088.10968,275.6151866,9872.778602,143898.1143,39947.5529,27930.4294,14963.68819,61565.63616,64894.0193,3117.928444,9375.017729,42086.64334,51038.6122,4262.238537,3288.120571,125.6463383,33062.50359,4978.744979,395.9830443,508207.922
3643.707151,38651.03043,111452.7437,20196.4805,333.7187801,11691.03728,182325.0107,44676.16181,33398.51029,16135.91804,77778.89949,70506.52605,3667.883779,11308.25319,48198.88444,65836.2832,4988.766029,3609.801998,145.6602616,32425.00496,5318.525682,433.1233026,604396.9204
4195.405543,40334.68129,116752.0542,19704.76141,345.6878995,12476.29418,189613.479,48675.13992,33962.75494,15855.97576,83147.51844,76181.99269,4011.352376,12639.27181,52944.1344,60129.95101,5406.098814,4385.840653,170.4965742,38521.6176,5518.583964,554.4993725,635914.1128
3817.058524,35388.5701,110702.491,18726.72418,328.6180401,11622.476,176768.8793,46626.45209,32040.76911,16339.75125,77878.64166,66424.77575,3940.07443,11546.11576,50028.15706,58324.61507,5067.361969,4082.436132,162.8175297,31675.3157,6232.66241,496.9632992,591452.8471
4009.176951,35203.51889,98812.32184,16418.0792,309.4475092,11675.20683,162418.5743,47372.77051,31717.1395,18743.23827,69518.90224,71835.12337,3865.380728,11456.3309,51497.91024,55293.10708,5032.887791,4150.108869,163.8066698,36691.22195,6081.519282,497.5131884,580344.7118
