agri,fish,mining,manufacturing,electricity,construction,trade,hotels,transport,financial,estates,public_ad,education,other_service,fism,all_industry,taxes,gdp_m,mm
415379.6226,45098,87508.07227,305458.5762,78873.25,203748.6178,519663.7636,83610.73488,216172.2765,59023.03597,329431.1597,264378.68,56394.625,69162.59,-36545.83483,2697357.17,236150.06,2933507.23,2697357.17
589781.8837,57208.47013,97080.17514,289739.9425,84452.869,221414.3871,414649.0107,78470.53539,215117.793,42617.68252,359809.9533,269538.27,65056.544,70253.008,-24770.71612,2830419.808,198634.39,3029054.198,2830419.808
1004668.569,53369.89627,89870.33979,304303.2568,88085.775,202964.8962,449433.575,74577.43562,243302.7759,59360.65361,332296.0832,273252.47,61766.297,71545.436,-37455.46636,3271341.993,212532.62,3483874.613,3271341.993
1382592.448,51518.6014,93435.85096,330270.3886,85088.927,217351.0501,463507.0444,89456.98882,262545.698,70964.09051,360200.7087,277622.88,61489.734,72930.43,-45301.8803,3773672.96,252727.53,4026400.49,3773672.96
422605.0994,53637.0322,97172.63411,339121.4121,87353.229,261813.6666,579230.7699,86354.04017,270682.6331,78337.57336,355813.2548,282537.38,60429.425,74411.127,-50763.93722,2998735.34,263856.45,3262591.79,2998735.34
656045.0674,45023.14281,95257.93084,309896.1528,86789.002,239090.9562,456964.6017,81970.31175,244005.1227,50606.99581,386043.9743,288261.69,66875.114,75720.766,-31040.62719,3051510.201,216891.28,3268401.481,3051510.201
1024509.551,60739.26314,103635.9735,320438.7342,86166.431,199342.5958,504228.0147,77236.34435,265125.0743,66913.45273,359152.656,294514.56,66739.437,76681.563,-41642.33426,3463781.316,234545.36,3698326.676,3463781.316
1402886.782,67388.0486,97652.52868,364038.1825,90346.212,291251.7901,519028.0241,92599.51859,283805.8747,79073.13279,388053.715,298109.39,66488.418,77861.794,-49665.2546,4068918.156,268763.83,4337681.986,4068918.156
471046.4203,53370.54546,90451.56698,394141.9306,101009.455,268730.6578,617281.9395,91851.52531,306261.5282,84526.41866,374846.1548,299272.35,65802.031,79234.776,-53355.78395,3244471.516,279463.53,3523935.046,3244471.516
655522.6686,50278.21699,67433.19053,335852.116,93180.74,256688.9802,509399.3344,84431.54709,268701.7921,55417.35178,419694.25,301927.28,72097.415,80190.42,-34113.80841,3216701.494,232685.11,3449386.604,3216701.494
1052186.228,65486.89593,84947.05249,346929.2509,95797.91,198185.6783,527828.3436,80211.47398,301321.3365,79145.52126,382517,306031.63,71295.407,81082.363,-50110.54406,3622855.547,235429.31,3858284.857,3622855.547
1496934.384,65398.98127,126628.74,390549.083,100454.341,275461.7526,559697.6928,97099.69544,299861.1193,92391.21456,403185.43,310132.59,70788.779,82139.945,-57488.14888,4313235.599,276643.5,4589879.099,4313235.599
465001.8159,51472.66471,112633.0169,426265.5502,103735.01,342960.9773,657890.6293,97036.2835,350383.7521,79384.9124,405250.33,314221.5,70521.899,83382.573,-49277.49865,3510863.416,312887.07,3823750.486,3510863.416
667679.4689,55006.01,86539.93,350982.73,97535.95247,278746.6915,555331.43,87394.93,298966.815,60847.46454,474835.28,321598.4033,76364.24988,84689.5584,-37702.21365,3458816.7,253695.3245,3712512.025,3458816.7
1084045.731,66761.883,102368.89,372937.63,104909.0865,245685.7891,578677.27,86047.62,321347.9128,90676.4222,403965.28,327431.6665,76352.49371,86221.202,-56563.71638,3890865.161,245573.6755,4136438.836,3890865.161
1582722.877,64437.198,111066.53,425779.93,113916.8902,311853.4333,601155.25,103851.85,338678.3161,101688.1164,418450.22,331026.8863,76344.65627,87207.28274,-61626.87763,4606552.558,283741.9877,4890294.546,4606552.558
489979.822,49921.209,102355.64,468363.71,114326.0718,346295.1833,704547.05,103369.61,410502.9561,84143.50638,426141.22,332356.6264,76340.73755,87655.84952,-52477.57806,3743821.614,345495.7066,4089317.321,3743821.614
659881.0011,56151.28771,87269.89375,367187.5505,103980.2601,279806.4627,631562.3835,90142.58951,344219.649,66958.21088,516706.3572,340874.3491,80738.0265,89110.02412,-42806.40082,3671781.645,268478.8755,3940260.52,3671781.645
